X座標,Y座標,配線端番号,座標,ピン高さ,ピングループ
1760,2320,16,CNV,120,
3177,2204,28,Y1,32,B
2503,2461,12,YY1,25,D
1760,2320,16,CNV,119,
3177,2204,28,Y1,32,B
2503,2461,12,YY1,24,D
3382,2204,31,Y2,34,D
2223,2461,9,YY3,26,D
1487,2204,24,Z1,32,A
3380,3000,1,1S1,19,
3382,2204,31,Y2,32,D
2223,2461,9,YY3,25,D
1487,2204,24,Z1,30,A
3380,3000,1,1S1,20,
3382,2204,31,Y2,32,D
2223,2461,9,YY3,24,D
1487,2204,24,Z1,30,A
3380,3000,1,1S1,21,
3455,2204,32,Y3,32,C
2297,2461,10,YY2,25,C
3455,2204,32,Y3,30,C
2297,2461,10,YY2,23,C
1487,2204,24,Z1,34,A
3380,3000,1,1S1,22,
3455,2204,32,Y3,32,C
2297,2461,10,YY2,24,C
1487,2204,24,Z1,34,A
3380,3000,1,1S1,23,
1348,2204,22,Z2,32,A
4544,1929,49,CB,210,A
3382,2204,31,Y2,34,D
2223,2461,9,YY3,27,D
3316,2204,30,Y2,34,C
2157,2461,8,YY3,26,C
3316,2204,30,Y2,34,C
2157,2461,8,YY3,27,C
4885,625,58,EBU,14,C
4010,2860,4,1S4,19,
4885,625,58,EBU,15,C
4334,2186,46,Z8,34,D
4334,2204,37,Z8,34,B
4010,2860,4,1S4,22,
4885,625,56,EBU,13,B
1771,2155,47,Z,114,
1759,2230,17,SA,38,
3380,3000,1,1S1,24,
3177,2204,28,Y1,30,B
2503,2461,12,YY1,23,D
2434,2186,44,Y4,30,C
2434,2186,44,Y4,30,C
2434,2186,44,Y4,32,C
1759,2230,17,SA,39,
1760,2320,16,CNV,123,
1759,2230,17,SA,37,
3380,3000,1,1S1,26,
3177,2204,28,Y1,30,B
2503,2461,12,YY1,22,D
2434,2186,44,Y4,32,C
2434,2186,44,Y4,34,C
2434,2186,44,Y4,34,C
2368,2186,43,Y4,30,D
1759,2230,17,SA,40,
1760,2320,16,CNV,122,
1414,2204,23,Z2,30,B
3380,3000,1,1S1,27,
4334,2204,37,Z8,32,B
4010,2860,4,1S4,20,
4407,2204,38,Z9,30,A
4010,2860,4,1S4,21,
4407,2204,38,Z9,30,A
4010,2860,4,1S4,23,
4334,2204,37,Z8,34,B
4010,2860,4,1S4,24,
4407,2204,38,Z9,32,A
4010,2860,4,1S4,25,
4544,1929,49,CB,207,A
3380,3000,1,1S1,28,
4544,1929,49,CB,203,A
3380,3000,1,1S1,29,
4544,1929,49,CB,205,A
3380,3000,1,1S1,30,
1207,2204,20,Z3,34,A
3480,3000,2,1S2,19,
1414,2204,23,Z2,34,B
3480,3000,2,1S2,20,
1207,2204,20,Z3,30,A
3480,3000,2,1S2,21,
1207,2204,20,Z3,30,A
3480,3000,2,1S2,22,
1273,2204,21,Z3,30,B
3480,3000,2,1S2,23,
1207,2204,20,Z3,32,A
3480,3000,2,1S2,24,
1553,2204,25,Z1,32,B
3480,3000,2,1S2,25,
1553,2204,25,Z1,34,B
3480,3000,2,1S2,26,
1067,2204,18,Z4,30,A
3480,3000,2,1S2,27,
1067,2204,18,Z4,32,A
3480,3000,2,1S2,28,
1553,2204,25,Z1,34,B
3480,3000,2,1S2,29,
1348,2204,22,Z2,30,A
3480,3000,2,1S2,30,
1273,2204,21,Z3,34,B
3960,2860,3,1S3,19,
1414,2204,23,Z2,32,B
3960,2860,3,1S3,20,
1067,2204,18,Z4,30,A
3960,2860,3,1S3,21,
1414,2204,23,Z2,32,B
3960,2860,3,1S3,22,
1414,2204,23,Z2,34,B
3960,2860,3,1S3,23,
1067,2204,18,Z4,34,A
3960,2860,3,1S3,24,
1348,2204,22,Z2,30,A
3960,2860,3,1S3,25,
3591,1960,48,GPT,882,
4010,2860,4,1S4,26,
3591,1960,48,GPT,885,
4010,2860,4,1S4,28,
1771,2155,47,Z,110,
4010,2860,4,1S4,27,
1771,2155,47,Z,112,
4010,2860,4,1S4,29,
4544,1929,49,CB,200,A
3960,2860,3,1S3,26,
1348,2204,22,Z2,34,A
3960,2860,3,1S3,27,
1414,2204,23,Z2,30,B
3960,2860,3,1S3,28,
1207,2204,20,Z3,34,A
3960,2860,3,1S3,29,
1348,2204,22,Z2,32,A
3960,2860,3,1S3,30,
3591,1960,48,GPT,879,
4010,2860,4,1S4,30,
4107,2204,34,Z7,32,A
4060,2860,5,1S5,19,
3591,1960,48,GPT,880,
4060,2860,5,1S5,21,
4107,2204,34,Z7,32,A
4060,2860,5,1S5,22,
3591,1960,48,GPT,881,
4060,2860,5,1S5,24,
4107,2204,34,Z7,34,A
4060,2860,5,1S5,25,
4173,2204,35,Z7,30,B
4060,2860,5,1S5,20,
4173,2204,35,Z7,30,B
4060,2860,5,1S5,23,
4173,2204,35,Z7,32,B
4060,2860,5,1S5,26,
3243,2204,29,Y1,30,A
2437,2461,11,YY1,22,C
3243,2204,29,Y1,32,A
2437,2461,11,YY1,24,C
3243,2204,29,Y1,30,A
2437,2461,11,YY1,23,C
3316,2204,30,Y2,30,C
2157,2461,8,YY3,22,C
3243,2204,29,Y1,32,A
2437,2461,11,YY1,25,C
3316,2204,30,Y2,30,C
2157,2461,8,YY3,23,C
3316,2204,30,Y2,32,C
2157,2461,8,YY3,24,C
